Year,Area harvested,Production,Yield
1988,7000,3000,0.4286
1971,7500,4500,0.6
1983,7600,1850,0.2434
2007,780,313,0.4013
1998,175,179,1.0229
2005,27,60,2.2222
2017,73235,27650,0.3775
1991,31430,22510,0.7162
2008,16300,18222,1.1179
1986,27,10,0.3704
1968,258991,159060,0.6142
1970,920,500,0.5435
1979,26250,10200,0.3886
2004,63738,41031,0.6437
2009,34230,38012,1.1105
1991,458,236,0.5153
1963,24779,25553,1.0312
1961,9835,7868,0.8
2018,311203,433386,1.3926
1968,16000,12025,0.7516
1991,679872,436190,0.6416
2012,25115,32745,1.3038
2000,1720000,517800,0.301
2007,5174,3219,0.6221
1985,2000,400,0.2
1970,43000,11315,0.2631
2000,26000,10000,0.3846
2004,12474,2165,0.1736
2013,10489,4668,0.445
2012,283,229,0.8092
1993,24000,31000,1.2917
1971,594474,281511,0.4735
1967,4000,2000,0.5
1962,6000,4000,0.6667
2002,18021,10157,0.5636
2009,45000,24000,0.5333
1981,40000,25000,0.625
1992,46331,29075,0.6275
1983,108297,57201,0.5282
2017,37518,33999,0.9062
2016,90039,59412,0.6598
1991,22000,9800,0.4455
1989,21140,16950,0.8018
1992,2129000,760000,0.35700000000000004
1973,7000,2000,0.2857
2009,14600,3942,0.27
1967,6111,3439,0.5628
2000,11295,4246,0.3759
2006,2516,1964,0.7806
2008,47000,32000,0.6809
2011,116,85,0.733
1981,100,30,0.3
1998,629990,656117,1.0415
1991,98475,30000,0.3046
2015,1943,3839,1.9758
2015,1947000,850000,0.4366
1991,376,105,0.2793
1984,86000,39000,0.4535
2009,83347,50008,0.6
1969,22000,3755,0.1707
1977,294,81,0.2755
2000,270,218,0.8074
1982,15845,13150,0.8299
1983,74678,37135,0.4973
2002,1444400,441300,0.3055
1961,10300,6900,0.6699
1978,2600,1040,0.4
2014,26,52,2.0161
1978,317,44,0.1388
1983,67,20,0.2985
2016,302,231,0.764
1986,20800,9370,0.4505
1983,76000,22000,0.2895
1996,36000,22000,0.6111
1961,43710,11180,0.2558
1987,105,100,0.9524
1998,44000,33000,0.75
1964,7000,3000,0.4286
1985,1052000,691435,0.6573
1974,25500,12000,0.4706
2014,20000,14000,0.7
2016,4651,2271,0.4882
1990,58400,29200,0.5
1988,82000,27000,0.3293
2013,250,150,0.6
1972,10400,4700,0.4519
2012,218515,124625,0.5703
2006,568700,662000,1.1641
1990,5746,3000,0.5221
1984,85566,46251,0.5405
2016,11000,10000,0.9091
1985,1005652,252814,0.2514
1971,1975,1890,0.9570000000000001
1966,29120,19900,0.6834
2007,2512,2110,0.84
1976,23000,5809,0.2526
1981,25770,21900,0.8498
1974,40000,9747,0.2437
1994,35000,27216,0.7776
1963,7487,5322,0.7108
2007,120000,155794,1.2983
1996,593600,574997,0.9687
2005,18794,19363,1.0303
1962,15000,5660,0.3773
1976,27000,8000,0.2963
2002,585,294,0.5028
2016,5464,1789,0.3273
1995,580,290,0.5
1989,22951,18766,0.8177
1992,405,206,0.5097
1979,7000,3000,0.4286
2009,581,285,0.4903
1988,20200,7800,0.3861
1999,2000,1500,0.75
2000,133,93,0.7018
1980,3360,1000,0.2976
1961,53890,24868,0.4615
2008,1020,408,0.4
1965,50,30,0.6
1970,6000,3000,0.5
1974,2000,400,0.2
2013,23193,25144,1.0841
1964,5000,1000,0.2
1975,170,84,0.4941
2004,129,110,0.8527
2018,800000,561103,0.7014
2005,30700,39200,1.2769
1985,109200,56700,0.5192
2009,1469,1008,0.6862
1983,130,80,0.6154
2008,317080,121610,0.3835
2006,400,211,0.5283
1989,40,50,1.25
2000,101000,50700,0.502
1989,37748,15208,0.4029
2000,2350,3400,1.4468
1974,3160,909,0.2877
2015,305882,152624,0.499
2014,3,1,0.3333
1982,49200,27000,0.5488
2012,1552,1018,0.6559
1980,13077,11204,0.8568
1997,35385,21768,0.6152
1993,64,87,1.3609
1984,15400,7691,0.4994
2002,17296,13662,0.7899
1994,516,275,0.5329
2002,4727,3096,0.655
1996,84200,48745,0.5789
1986,9842,4178,0.4245
1996,42373,29370,0.6931
1996,2647,2064,0.7798
2002,30392,36930,1.2151
1997,2351,2184,0.929
1981,1767,1144,0.6474
1978,637600,322000,0.505
2017,19000,13000,0.6842
2011,23,46,2.0227
1968,13800,8900,0.6449
1971,2000,400,0.2
1977,40000,11379,0.2845
1973,10500,4200,0.4
1968,27520,8130,0.2954
1991,28461,23558,0.8277
1966,5997,1827,0.3047
1963,250677,169268,0.6752
1966,2000,1600,0.8
2011,12100,3300,0.2727
2001,62974,38572,0.6125
1981,90000,53000,0.5889
1986,81000,25000,0.3086
1961,57466,26416,0.4597
1991,23000,9000,0.3913
1971,4000,2000,0.5
2005,24,46,1.9118
1967,3000,800,0.2667
1985,116700,35000,0.2999
2007,76420,32788,0.429
1977,9180,4633,0.5047
1965,100,80,0.8
1967,300,220,0.7333
2006,31756,41530,1.3078
1992,3500,2000,0.5714
1987,26000,4000,0.1538
1965,6914,4900,0.7087
1973,2000,400,0.2
2018,910,754,0.8282
1965,21814,22496,1.0313
2015,36611,49818,1.3607
1969,13000,8000,0.6154
2010,580,290,0.5
2002,13500,3250,0.2407
1975,11675,7600,0.6509999999999999
2015,15122,3067,0.2028
2002,1735,2819,1.6248
2010,36000,32000,0.8889
2014,48496,26275,0.5418
2018,20000,14000,0.7
1981,2400,1300,0.5417
1993,557,275,0.4937
2003,39000,25500,0.6538
1965,295,214,0.7254
1968,1300,1400,1.0769
1970,170,114,0.6706
1982,107,30,0.2804
1974,537973,227640,0.4231
1966,1130,470,0.4159
1996,172000,73000,0.4244
1976,140199,62800,0.4479
1981,817000,510000,0.6242
1986,7800,2000,0.2564
2017,263871,369415,1.4
1961,200,100,0.5
1999,2114,2000,0.9461
1973,6500,1300,0.2
1986,9250,10000,1.0811
2011,5332,1639,0.3075
1978,18072,8634,0.4778
2001,1816,2241,1.234
1988,2447900,681800,0.2785
2009,192000,115000,0.599
1988,90000,36000,0.4
2007,9260,6300,0.6803
1967,2654300,445000,0.1677
1978,240,100,0.4167
1964,140,50,0.3571
1978,243760,133921,0.5494
2000,1153,629,0.5455
1982,10800,4800,0.4444
1998,7000,2000,0.2857
2007,25224,10449,0.4142
1981,7000,2000,0.2857
2004,50400,41690,0.8272
1964,967,933,0.9648
1972,4000,1089,0.2723
1995,5,2,0.4
1981,14905,8201,0.5502
1982,8440,3000,0.3555
2007,47810,31946,0.6682
2003,31000,13587,0.4383
1971,7400,3000,0.4054
1988,7000,2000,0.2857
1987,869977,526557,0.6053
1968,40000,12000,0.3
1978,70475,32002,0.4541
1977,128000,38000,0.2969
1967,4000,2400,0.6
1999,13508,3826,0.2833
2002,10577,4403,0.4163
1971,281172,180294,0.6412
1999,28350,33553,1.1835
1973,7200,3000,0.4167
1975,52166,25136,0.4818
1996,5000,3000,0.6
2000,13000,3800,0.2923
1973,150,80,0.5333
2003,43874,22000,0.5014
1963,2000,820,0.41
2008,29,23,0.7931
1972,3199,1300,0.4064
1966,7500,3200,0.4267
1993,15389,9772,0.635
1967,7500,3300,0.44
2005,82045,35067,0.4274
1980,83000,38400,0.4627
2012,10363,4635,0.4473
1993,12900,3600,0.2791
2002,14438,2475,0.1714
2013,35000,26000,0.7429
1973,120000,35000,0.2917
1979,100,7,0.07
1999,16410,8390,0.5113
1998,18625,5011,0.26899999999999996
2011,64919,44563,0.6864
1988,7900,2100,0.2658
2000,62674,38780,0.6188
2014,260,156,0.5996
1995,150,200,1.3333
1989,1862,1267,0.6805
2016,15000,32000,2.1333
2015,41788,28604,0.6845
1980,39200,27100,0.6913
1969,281,102,0.363
1988,50200,27296,0.5437
1982,26748,16362,0.6117
2004,124130,67410,0.5431
2018,20,16,0.7928
2006,52500,36884,0.7026
1987,81000,26000,0.321
1992,597,292,0.4885
1980,200,100,0.5
1972,1800,800,0.4444
2012,6000,2000,0.3333
1967,52200,30500,0.5843
1964,9653,6527,0.6762
1989,13600,7100,0.5221
1984,73907,38225,0.5172
2009,123000,43000,0.3496
2006,24942,10295,0.4127
2015,421700,450000,1.0671
1993,47000,27000,0.5745
1989,2000,400,0.2
2009,10899,2974,0.2729
1998,90000,36000,0.4
2016,24,47,2.013
1975,13000,5300,0.4077
1996,8918,4576,0.5131
1980,2500,1000,0.4
2011,1531737,832100,0.5432
1965,60000,34000,0.5667
2004,30432,19072,0.6267
1976,13000,4000,0.3077
1962,15000,4500,0.3
1987,104700,45300,0.4327
2002,2350,1002,0.4264
1964,2000,460,0.23
1962,82959,34000,0.4098
2001,380,362,0.9526
1988,36651,10734,0.2929
2018,383,239,0.6236
1993,2200,1387,0.6306
2003,8228,5364,0.6519
1999,62400,37400,0.5994
1961,300,200,0.6667
2000,23000,14000,0.6087
1999,30975,17771,0.5737
2004,36000,14650,0.4069
2006,225,132,0.5883
2010,27154,12703,0.4678
1979,19000,7800,0.4105
1966,150,80,0.5333
1973,250,121,0.484
1962,4000,2000,0.5
1988,794,458,0.5768
2004,41100,21200,0.5158
2010,52173,45483,0.8718
2016,385,236,0.6129
1969,264070,174965,0.6626
2003,6565,5502,0.8381
1988,24100,13200,0.5477
2010,26,21,0.7874
1994,2555,605,0.2368
1988,81487,45239,0.5552
2018,309122,431500,1.3959
1992,1500,1900,1.2667
1987,800,500,0.625
1981,70000,25000,0.3571
2008,34936,31448,0.9002
2007,2520,1964,0.7794
2010,48299,29916,0.6194
2001,97815,43390,0.4436
2003,240000,120000,0.5
2005,47000,32000,0.6809
1968,19700,15700,0.797
1974,11610,6391,0.5505
1999,4700,1300,0.2766
2003,10867,4890,0.45
1999,15021,8031,0.5347
1962,340,191,0.5618
1984,92000,39700,0.4315
2007,485800,557224,1.147
1974,150,80,0.5333
1975,6200,2688,0.4335
2014,4539,7398,1.6299
2010,2809,1823,0.6488
2009,11110,5000,0.45
1988,35420,25800,0.7284
2000,151000,72000,0.4768
2001,56500,27600,0.4885
2006,10978,4940,0.45
1963,464769,84908,0.1827
1961,10000,6000,0.6
2000,44331,31710,0.7153
1999,16165,2717,0.1681
1973,15123,21000,1.3886
1985,73355,40811,0.5563
1993,28724,14362,0.5
2000,54682,23000,0.4206
1989,160,23,0.1438
1973,13168,5693,0.4323
1991,37795,16086,0.4256
1969,15400,10800,0.7013
1997,2583,605,0.2342
2001,70943,42879,0.6044
1971,6000,1200,0.2
1963,10237,5700,0.5568
1974,51062,28439,0.557
2002,6580,4070,0.6185
2015,15000,10000,0.6667
1989,44000,24000,0.5455
1971,2391500,449500,0.188
1986,7000,2000,0.2857
1991,23945,30000,1.2529
2006,9340,5970,0.6392
1985,7000,3000,0.4286
2002,5006,1409,0.2814
1998,12600,9274,0.736
1968,5500,1100,0.2
1997,5000,3000,0.6
1984,8360,4932,0.59
2010,8000,5000,0.625
1984,6000,3200,0.5333
1965,5546,2923,0.527
1970,4000,2000,0.5
1974,9676,5698,0.5889
2012,250,150,0.6
1971,8700,3500,0.4023
1984,150,80,0.5333
1985,3338,2753,0.8247
1998,60000,21000,0.35
2004,63000,44500,0.7063
2014,26315,17716,0.6732
1977,51000,10800,0.2118
2010,239059,126039,0.5272
1983,33600,15000,0.4464
2007,2543,589,0.2318
2017,297654,158715,0.5332
2007,96271,40041,0.4159
2008,8269,4967,0.6007
2007,12000,10000,0.8333
1973,85,50,0.5882
2012,33331,29965,0.899
1974,500,150,0.3
1995,4000,2500,0.625
2002,2833,652,0.2301
1970,30000,11000,0.3667
1962,800,225,0.2813
1984,10920,11000,1.0073
2011,75694,30195,0.3989
1977,7800,3200,0.4103
2014,21,17,0.7966
1974,19878,8319,0.4185
1966,5500,1100,0.2
1997,140000,66000,0.4714
1996,250,300,1.2
1977,39318,18283,0.465
1975,125000,36000,0.28800000000000003
1977,22000,13300,0.6045
1964,48000,27000,0.5625
1963,39000,10908,0.2797
1988,703000,404000,0.5747
1969,6000,1500,0.25
1984,30310,25505,0.8415
1980,46445,24778,0.5335
1983,15106,7250,0.4799
1966,6400,5700,0.8906
1992,43000,25000,0.5814
2012,3,1,0.3333
1996,11354,8445,0.7438
1994,690516,548275,0.794
1966,2870,1118,0.3895
1975,25760,20900,0.8113
1982,14000,4200,0.3
2011,251,199,0.7928
2001,3,4,1.3333
2005,71446,49218,0.6889
1987,15000,4400,0.2933
1974,7000,1500,0.2143
1975,150,80,0.5333
1961,7700,3080,0.4
1995,17650,2888,0.1636
2014,10285,4539,0.4414
2002,44176,23818,0.5392
1991,25970,12291,0.4733
2015,5525,3034,0.5491
1978,7000,3000,0.4286
2016,44000,30000,0.6818
1985,87473,45000,0.5144
1974,170,82,0.4824
2012,600,250,0.4167
1966,20000,4000,0.2
2011,22716,23041,1.0143
1968,645912,107925,0.1671
1998,15897,1855,0.1167
1973,47000,26000,0.5532
1977,15000,10900,0.7267
1978,8533,5485,0.6428
2014,43031,34745,0.8074
2000,9406,4760,0.506
1966,10494,4914,0.4683
1985,37540,14924,0.3975
1991,4700,2700,0.5745
1980,4700,1972,0.4196
1967,20000,4000,0.2
1963,4000,2000,0.5
2006,582,300,0.5155
1980,1704,1139,0.6684
1976,47000,13000,0.2766
1978,500,210,0.42
2008,1431000,840000,0.5870000000000001
1972,30000,17200,0.5733
1978,35000,23600,0.6743
2006,12699,2231,0.1757
2009,7251,5103,0.7038
2012,14000,3000,0.2143
1994,68,102,1.5
2015,4549,1000,0.2198
1982,2216700,551700,0.2489
1996,20,50,2.5
1961,2000,808,0.40399999999999997
2015,1,1,1.0
2013,526900,584980,1.1102
2017,29682,14258,0.4804
2005,35500,24000,0.6761
1976,7000,3000,0.4286
2013,34118,30972,0.9078
1977,57619,29950,0.5198
2009,977,825,0.8443
2018,8150,1778,0.2181
1967,5500,1100,0.2
2005,52500,43852,0.8353
2009,1942100,588400,0.303
2003,54,75,1.3889
2010,13645,2559,0.1875
1977,180,89,0.4944
2010,6763,4857,0.7182
2017,42000,29000,0.6905
1984,3000,2100,0.7
1995,27,50,1.8527
1977,31623,12612,0.3988
1971,9100,7700,0.8462
1994,9000,4000,0.4444
2007,280000,168000,0.6
1990,22378,12500,0.5586
2002,39000,25000,0.6409999999999999
1993,36000,24000,0.6667
1986,115,100,0.8696
2005,268000,161000,0.6007
1979,29445,6604,0.2243
1995,2564,605,0.2359
2004,25174,10000,0.3972
1963,140,50,0.3571
2001,22,40,1.7922
1985,7551,3289,0.4356
1967,1628,1117,0.6861
1975,1750,460,0.2629
1990,122,107,0.877
1978,17200,7000,0.40700000000000003
2000,24000,15000,0.625
1967,984,722,0.7337
1967,14000,4600,0.3286
2000,4988,1395,0.2797
2010,30386,12544,0.4128
1973,32942,12396,0.3763
2000,100000,39000,0.39
1961,663845,195501,0.2945
2008,1600,1360,0.85
1998,3866,2341,0.6055
1993,46369,16272,0.3509
1975,28200,10000,0.3546
2014,18701,4000,0.2139
1962,210000,60000,0.2857
1963,508,112,0.2205
2004,2167,1691,0.7803
2017,50000,65000,1.3
1994,82000,30000,0.3659
2007,5,1,0.2
1995,34951,20024,0.5729
2002,37353,20210,0.5411
1994,5,2,0.4
1990,2000,1170,0.585
1970,3453,1784,0.5167
1994,53912,13088,0.2428
1983,98400,35600,0.3618
1977,18400,5640,0.3065
1981,48000,26400,0.55
2000,30401,36811,1.2108
1968,2422800,422500,0.1744
1977,1486,941,0.6332
2008,105211,40517,0.3851
1969,16000,12045,0.7528
1997,150,81,0.54
2003,4161,2723,0.6544
1991,339,190,0.5605
2003,12780,7513,0.5879
1987,150,80,0.5333
1982,4100,4400,1.0732
1990,100000,45000,0.45
2017,500,416,0.8315
1996,594223,575334,0.9682
1999,50470,32813,0.6501
1975,655534,95144,0.1451
1996,27650,14770,0.5342
2016,839,614,0.7318
1983,6000,3200,0.5333
2003,27,51,1.8714
2012,82,57,0.6994
2000,18130,9855,0.5436
2011,1902000,810000,0.4259
1979,130000,39000,0.3
1994,403,209,0.518
1971,12047,7455,0.6188
1984,200,100,0.5
2016,80059,34056,0.4254
1999,48000,36000,0.75
2008,29,17,0.5862
1992,991885,233400,0.2353
2018,37568,34859,0.9279
1963,596,598,1.0034
1962,1500,1400,0.9333
1997,723983,258700,0.3573
1973,43000,11515,0.2678
1984,3500,3000,0.8571
1994,10915,6692,0.6131
2018,34000,44000,1.2941
2009,9000,6000,0.6667
1985,23000,14500,0.6304
1994,20376,2464,0.1209
1984,152,47,0.3092
2016,1900000,747000,0.3932
2003,16746,10952,0.654
1967,31970,9140,0.2859
1995,22000,13000,0.5909
1966,94637,60000,0.634
2009,1563302,790100,0.5054
2005,134,97,0.7239
1989,644095,144839,0.2249
1980,21950,8010,0.3649
2015,105602,60908,0.5768
1995,89516,39460,0.4408
2016,1199,943,0.7861
2009,34875,12780,0.3665
1984,40000,16610,0.4153
1966,300,216,0.72
1989,92000,45800,0.4978
2008,10000,1778,0.1778
1997,4500,2800,0.6222
2000,8000,5000,0.625
1990,8000,2580,0.3225
1995,133000,60000,0.4511
1965,703119,100400,0.1428
2006,3049,5348,1.754
1997,49000,32205,0.6572
1973,20,10,0.5
1977,25000,6000,0.24
2002,759476,895759,1.1794
1997,566756,566425,0.9994
1963,711,505,0.7103
1995,11887,6944,0.5842
1993,946156,219800,0.2323
1989,14181,2864,0.20199999999999999
1966,30350,7110,0.2343
1972,2823,2212,0.7836
1999,66472,21218,0.3192
2005,156250,103640,0.6633
1970,7500,3400,0.4533
2000,16032,10291,0.6419
1963,33200,19200,0.5783
1970,2433200,562300,0.2311
1965,33200,19800,0.5964
1973,96000,30700,0.3198
2007,40549,17020,0.4197
2010,7402,3630,0.4904
1986,111891,62921,0.5623
2012,1350,1610,1.1926
2007,28,22,0.7857
1987,81987,49027,0.598
2013,230473,125881,0.5462
1976,8500,5000,0.5882
1964,800,235,0.2938
1987,39319,16377,0.4165
1977,31750,23500,0.7402
1997,24035,7523,0.313
1990,19600,7500,0.3827
1963,21000,4130,0.1967
1972,12000,7078,0.5898
1994,298,184,0.6182
1961,2000,400,0.2
1962,11000,4893,0.4448
1992,110,38,0.3455
1969,2209,1675,0.7583
1961,10000,1895,0.1895
1983,530,250,0.4717
1977,15138,13349,0.8818
1965,6000,3500,0.5833
1979,16200,9300,0.5741
1965,11000,4875,0.4432
2005,48000,34100,0.7104
1981,220,110,0.5
2009,1500,1500,1.0
1988,530,265,0.5
1989,9660,3312,0.3429
2014,14474,14077,0.9726
2018,18,27,1.4637
2006,36043,29180,0.8096
2010,448431,587947,1.3111
1996,23000,14000,0.6087
2006,1647000,618000,0.3752
2003,688059,593594,0.8627
1996,220,129,0.5855
1992,13000,3800,0.2923
1984,40,15,0.375
1988,17600,11000,0.625
1972,10000,6600,0.66
2005,2933,4964,1.6925
1987,7560,3119,0.4126
1962,9600,3825,0.3984
2001,9500,6000,0.6316
2004,5007,1414,0.2823
1981,7300,1700,0.2329
2008,26020,10821,0.4158
1965,33000,7500,0.2273
1962,723410,259028,0.3581
2013,14000,3000,0.2143
1998,35000,22000,0.6286
2000,50000,37400,0.748
1970,7500,3000,0.4
1963,45000,25000,0.5556
1999,24131,12601,0.5222
1983,1700,791,0.4653
2016,41235,55647,1.3495
1996,17302,2850,0.1647
2008,48398,29651,0.6126
2010,242,144,0.594
1998,14460,9554,0.6607
1969,561703,83117,0.14800000000000002
1990,33,50,1.5152
2012,499100,994800,1.9932
2004,42990,23000,0.535
2007,1799000,756900,0.4207
1992,122100,49000,0.4013
1977,3800,1655,0.4355
1990,378,199,0.5265
1979,10000,4500,0.45
1979,3200,1389,0.4341
1976,65241,35543,0.5448
1984,24200,6400,0.2645
2004,8401,2126,0.2531
1967,11500,7000,0.6087
1998,45621,27306,0.5985
1961,2252000,372000,0.1652
1969,2000,600,0.3
1970,1900,1900,1.0
1973,151037,78438,0.5193
1961,10642,5700,0.5356
1972,12200,4228,0.3466
1966,16420,5723,0.3485
2011,3000,2000,0.6667
1983,2800,1000,0.3571
2011,202752,141926,0.7
1972,42600,12000,0.2817
1997,96115,42467,0.4418
1983,31168,16300,0.523
1979,100,83,0.83
1967,33200,21000,0.6325
1961,7000,4200,0.6
1962,71000,41000,0.5775
2003,63000,30000,0.4762
1980,150,80,0.5333
2001,6840,4210,0.6155
2001,11000,8000,0.7273
1981,2000,400,0.2
2007,80110,48066,0.6
2002,35000,23000,0.6571
1993,4295,2565,0.5972
1992,8,3,0.375
1980,20283,8833,0.4355
1996,37000,30600,0.8270000000000001
2013,42841,33223,0.7755
1970,2695,2256,0.8371
2001,397,205,0.5175
1986,26000,16500,0.6346
2011,33768,44427,1.3157
1971,3000,1597,0.5323
1987,96959,52891,0.5455
2009,51876,28523,0.5498
1962,8000,4500,0.5625
2014,506095,321837,0.6359
1972,12128,7955,0.6559
1962,447712,76478,0.1708
1972,63000,33000,0.5238
1994,80150,36263,0.4524
1966,33200,21000,0.6325
1991,69500,28700,0.4129
1967,7500,4100,0.5467
1977,2400,600,0.25
1995,100,123,1.23
1996,2051,1377,0.6714
2005,33971,23461,0.6906
1974,11750,4700,0.4
1999,23,40,1.7654
2011,9121,4648,0.5095
1961,7185,2832,0.3942
1999,55632,22000,0.3955
1964,383405,53848,0.1404
1987,33,15,0.4545
1998,38415,26702,0.6951
1962,8410,4028,0.479
1994,1971000,590000,0.2993
2007,10260,2837,0.2765
2000,6400,3958,0.6184
1963,800,230,0.2875
1975,2066,1018,0.4927
1999,103000,40000,0.3883
1999,35000,23000,0.6571
1974,270,150,0.5556
1970,9894,6723,0.6795
1979,843300,417000,0.4945
2005,2,1,0.5
1963,61427,30879,0.5027
1965,2000,200,0.1
1984,4064,4196,1.0325
1997,6800,1900,0.2794
1968,7500,3300,0.44
1985,530,250,0.4717
1999,3,1,0.3333
1984,26,17,0.6538
2017,2702,2420,0.8956
1999,168,101,0.602
1968,13599,6537,0.4807
1998,68194,34000,0.4986
1971,375,234,0.624
2007,5000,3000,0.6
2013,22857,12338,0.5398
2004,415,202,0.4867
1994,36000,26000,0.7222
1974,85,50,0.5882
1967,37000,11051,0.2987
1965,663300,256000,0.3859
2011,10499,4706,0.4482
1996,2574,605,0.2351
1965,2000,1600,0.8
1974,36974,16877,0.4565
1999,7868,3182,0.4044
1968,36000,15500,0.4306
1973,6000,2000,0.3333
1965,800,240,0.3
2000,3,1,0.3333
1989,12000,6000,0.5
1999,597,296,0.4961
1998,84261,29013,0.3443
2011,27617,11597,0.4199
2010,105517,63116,0.5982
2013,207014,124208,0.6
1969,33200,22200,0.6687
1987,19080,10890,0.5708
1973,1800,800,0.4444
2007,32044,42212,1.3173
2011,79294,66590,0.8398
1997,28000,12000,0.4286
1994,21697,9282,0.4278
2009,13541,2422,0.1788
1981,41184,28500,0.6920000000000001
1962,648,461,0.7114
2007,65430,42939,0.6563
1987,5000,3000,0.6
1994,72400,21720,0.3
1990,4800,2400,0.5
1996,398,207,0.5203
1969,2308700,448100,0.1941
1970,27400,17900,0.6533
1968,5600,2816,0.5029
1967,33120,22700,0.6854
2008,32932,28461,0.8642
1999,2601,605,0.2326
1990,35825,11652,0.3252
2016,279811,352000,1.258
1973,4000,2000,0.5
1983,31000,8000,0.2581
1962,17540,11767,0.6709
1976,1585,1028,0.6486
2014,43326,56612,1.3067
2008,28589,20338,0.7114
1983,350,100,0.2857
1964,10842,6200,0.5719
2000,102237,33014,0.3229
1967,9813,6663,0.679
1993,28000,12000,0.4286
2010,11228,3035,0.2703
2016,616,685,1.1121
2011,175251,72609,0.4143
2012,15560,12500,0.8033
1961,15000,5000,0.3333
2005,37741,20042,0.531
1995,400,208,0.5197
1993,9360,4900,0.5235
1973,496694,70702,0.1423
1965,3520,1400,0.3977
1989,7900,2100,0.2658
1967,133256,80542,0.6044
1989,14255,8920,0.6257
1977,6500,4000,0.6154
2005,4000,2400,0.6
1997,27337,32987,1.2067
2007,15560,4200,0.2699
1982,34176,22400,0.6554
2006,24250,18000,0.7423
1995,52263,31859,0.6096
1974,535000,226000,0.4224
1961,300,183,0.61
1976,6500,4000,0.6154
1970,5000,2237,0.4474
2009,19,37,1.9474
1985,2217400,501000,0.2259
1981,14000,4200,0.3
1979,16000,13220,0.8263
1967,477889,56611,0.1185
1972,91000,28500,0.3132
1967,4400,4700,1.0682
1978,150,80,0.5333
1985,36706,11528,0.3141
1979,2377200,347700,0.1463
1969,9810,3167,0.3228
1985,80000,24000,0.3
2011,152444,104652,0.6865
1988,7280,2612,0.3588
1983,2000,400,0.2
1998,168,105,0.6264
1988,3331,3896,1.1696
2011,15000,32000,2.1333
1983,11200,5000,0.4464
1991,80,63,0.7875
1983,10900,11000,1.0092
2014,28370,12158,0.4286
1962,2500,1400,0.56
1981,65000,20000,0.3077
1975,280,150,0.5357
1994,22000,13000,0.5909
2000,1239958,375800,0.3031
2011,5219,2958,0.5667
1998,57763,31652,0.5479999999999999
1963,1100,900,0.8182
1981,16895,16567,0.9806
1977,7560,5240,0.6931
1977,16000,6500,0.4063
1975,28116,10691,0.3802
1988,4,3,0.75
1982,145000,44000,0.3034
1970,33200,21000,0.6325
2018,1,1,1.0
2003,1675,2497,1.4907
1996,1015357,338700,0.3336
2004,1050,886,0.8438
1995,52000,29000,0.5577
1985,260,130,0.5
1976,13560,4820,0.3555
1975,2000,900,0.45
2017,39000,39000,1.0
2006,9575,7083,0.7397
1991,10027,5398,0.5383
2010,132,114,0.8636
2010,2405,524,0.2179
2009,26539,11077,0.4174
1972,698384,113439,0.1624
1964,5200,3000,0.5769
1961,200000,56000,0.28
2016,2519,2825,1.1216
1973,140,111,0.7929
1962,50,30,0.6
2018,438941,253936,0.5785
1982,9825,5600,0.57
2008,4445,2877,0.6472
2016,12340,3171,0.257
1993,4000,2500,0.625
1981,7000,3000,0.4286
1984,769632,206760,0.2686
1964,16160,13100,0.8106
1970,15600,10000,0.6409999999999999
1991,36000,24000,0.6667
1969,84000,21800,0.2595
2008,47971,18891,0.3938
1994,39000,27000,0.6923
1985,3100,1700,0.5484
1988,26000,4000,0.1538
2003,1900,1300,0.6842
2013,1,1,1.0
1998,22000,13000,0.5909
1988,28912,18987,0.6567
1982,68,54,0.7941
1986,6000,3000,0.5
2000,69702,40777,0.585
2009,79874,33427,0.4185
1990,84000,29000,0.3452
1982,8000,7000,0.875
1988,50,50,1.0
2006,28,22,0.7857
1978,7000,2000,0.2857
2008,14000,11000,0.7857
1974,5900,2321,0.3934
1965,668846,258923,0.3871
1974,4500,2500,0.5556
2018,11873,8589,0.7234
1981,712995,157158,0.2204
2010,394,223,0.5666
2004,16281,9042,0.5554
1982,91043,36768,0.4039
1980,7000,2000,0.2857
1999,45200,24482,0.5416
1979,16650,4780,0.2871
2007,399,214,0.5374
1981,36847,18277,0.496
1987,798132,198843,0.2491
2015,2090,1957,0.9364
1976,2000,1000,0.5
1963,4510,1700,0.3769
2017,45000,30000,0.6667
1976,562885,230028,0.4087
1973,40000,23200,0.58
2015,28088,18530,0.6597
2005,196000,100000,0.5102
1965,300,209,0.6967
1962,560,587,1.0482
2005,54971,37253,0.6777
1968,4000,1100,0.275
2010,447100,587000,1.3129
2000,395,205,0.5179
2015,400255,235079,0.5873
1968,1700,1000,0.5882
1985,16000,15000,0.9375
2009,33,25,0.7576
1994,20409,12118,0.5938
1971,6000,3200,0.5333
1998,24500,7400,0.302
1984,32000,9000,0.2813
1993,23000,14000,0.6087
1976,15000,6000,0.4
2017,609,271,0.4452
2002,28,50,1.8161
1988,628500,169957,0.2704
1961,419457,64738,0.1543
2013,12000,8000,0.6667
1999,262,156,0.5975
2010,112,80,0.7086
1978,14000,4500,0.3214
1989,5942,2952,0.4968
1981,100000,55000,0.55
2000,32008,18314,0.5722
2005,420,205,0.4881
1994,4300,2600,0.6047
1973,2500,601,0.2404
1974,35760,24000,0.6711
1968,10082,10000,0.9919
1988,7000,4000,0.5714
1990,14000,4000,0.2857
1975,155,138,0.8903
